"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","tipo","motivo"
"@fisho_jc Y los que comen arroz con popote que harán??",FALSE,1,"fisho_jc",2018-06-11 19:35:02,FALSE,"1006170149685166080","1006258524823773186","499823444","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","allita29",0,FALSE,FALSE,NA,NA,"arroz_popote","orientacion"
"<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Al carnal Marcelo le gusta el arroz con popote.... https://t.co/9ez59yor3v",FALSE,0,NA,2018-06-10 17:24:09,FALSE,NA,"1005863199411982337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","diaz_guicho",0,FALSE,FALSE,NA,NA,"arroz_popote","orientacion"
"Y si la campaña fuera no “arroz con popote”, sería discriminación? https://t.co/4aDL9bZigh",FALSE,0,NA,2018-06-08 23:10:01,FALSE,NA,"1005225465081196545",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thedecadent",0,FALSE,FALSE,NA,NA,"arroz_popote","orientacion"
"@DrNetas A lo mejor ya le gusta el arroz con popote",FALSE,1,"DrNetas",2018-06-08 16:54:50,FALSE,"1005108255243292674","1005131047292448768","57515593","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","h1contreras",0,FALSE,FALSE,NA,NA,"arroz_popote","orientacion"
"RT @iMarychole: Chavos, ahora con la campaña ""Sin popote"", con qué van a comer el arroz? Sean serios.",FALSE,0,NA,2018-06-08 14:25:01,FALSE,NA,"1005093342244491264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Avalos_Yanii",21,TRUE,FALSE,NA,NA,"arroz_popote","orientacion"
"RT @iMarychole: Chavos, ahora con la campaña ""Sin popote"", con qué van a comer el arroz? Sean serios.",FALSE,0,NA,2018-06-08 13:49:16,FALSE,NA,"1005084345785245696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PamelaNeris",21,TRUE,FALSE,NA,NA,"arroz_popote","orientacion"
"RT @iMarychole: Chavos, ahora con la campaña ""Sin popote"", con qué van a comer el arroz? Sean serios.",FALSE,0,NA,2018-06-08 13:32:28,FALSE,NA,"1005080118195310592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nichessita",21,TRUE,FALSE,NA,NA,"arroz_popote","orientacion"
"RT @iMarychole: Chavos, ahora con la campaña ""Sin popote"", con qué van a comer el arroz? Sean serios.",FALSE,0,NA,2018-06-08 13:09:09,FALSE,NA,"1005074251471310848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","josehectorrr",21,TRUE,FALSE,NA,NA,"arroz_popote","orientacion"
"RT @iMarychole: Chavos, ahora con la campaña ""Sin popote"", con qué van a comer el arroz? Sean serios.",FALSE,0,NA,2018-06-08 05:49:10,FALSE,NA,"1004963525825998848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OscarOlarteG",21,TRUE,FALSE,NA,NA,"arroz_popote","orientacion"
"RT @iMarychole: Chavos, ahora con la campaña ""Sin popote"", con qué van a comer el arroz? Sean serios.",FALSE,0,NA,2018-06-08 04:24:41,FALSE,NA,"1004942266052509701",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WeroDorantes",21,TRUE,FALSE,NA,NA,"arroz_popote","orientacion"
"RT @iMarychole: Chavos, ahora con la campaña ""Sin popote"", con qué van a comer el arroz? Sean serios.",FALSE,0,NA,2018-06-08 03:44:30,FALSE,NA,"1004932152616681473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Manieher",21,TRUE,FALSE,NA,NA,"arroz_popote","orientacion"
